name,last_season,Nationality,date_of_birth,Position,Market Value,League,,,,,,
Calvin Stengs,2022,Netherlands,18/12/1998,Attack,10000000,FR1,,,,,,
Aurélien Tchouaméni,2022,France,27/1/2000,Midfield,85000000,ES1,,,,,,
Conor Coventry,2022,Ireland,25/3/2000,Midfield,1800000,GB1,,,,,,
Gianluca Saro,2022,Italy,25/6/2000,Goalkeeper,200000,IT1,,,,,,
Stéphane Diarra,2022,,9/12/1998,Attack,2500000,FR1,,,,,,
Joshua Zirkzee,2022,Netherlands,22/5/2001,Attack,9000000,IT1,,,,,,
Álvaro Fernández,2022,Spain,13/4/1998,Goalkeeper,2500000,ES1,,,,,,
Eder González,2022,Spain,7/1/1997,Midfield,700000,GR1,,,,,,
Morten Hjulmand,2022,Denmark,25/6/1999,Midfield,15000000,IT1,,,,,,
Georgios Kornezos,2022,Greece,23/2/1998,Defender,400000,GR1,,,,,,
Joel Graterol,2022,Venezuela,15/5/1997,Goalkeeper,750000,GR1,,,,,,
Abdoulaye Dabo,2022,France,4/3/2001,Midfield,450000,GR1,,,,,,
Georgios Antzoulas,2022,Greece,4/2/2000,Defender,400000,GR1,,,,,,
Karamoko Dembélé,2022,England,22/2/2003,Attack,500000,FR1,,,,,,
Nico González,2022,Spain,3/1/2002,Midfield,10000000,ES1,,,,,,
Brennan Johnson,2022,Wales,23/5/2001,Midfield,38000000,GB1,,,,,,
Nabil Touaizi,2022,Morocco,1/2/2001,Attack,200000,ES1,,,,,,
Thórir Jóhann Helgason,2022,Iceland,28/9/2000,Midfield,800000,IT1,,,,,,
Lucas Bergström,2022,Finland,5/9/2002,Goalkeeper,250000,GB1,,,,,,
Diego Valencia,2022,Chile,14/1/2000,Attack,2000000,IT1,,,,,,
Mattia Viti,2022,Italy,24/1/2002,Defender,7000000,FR1,,,,,,
Giorgi Mamardashvili,2022,,29/9/2000,Goalkeeper,25000000,ES1,,,,,,
Neco Williams,2022,Wales,13/4/2001,Defender,20000000,GB1,,,,,,
Antonio Sánchez,2022,Spain,22/4/1997,Midfield,2500000,ES1,,,,,,
Nicolò Rovella,2022,Italy,4/12/2001,Midfield,18000000,IT1,,,,,,
Manu Vallejo,2022,Spain,14/2/1997,Attack,2400000,ES1,,,,,,
Matt Smith,2022,England,5/10/2000,Midfield,350000,GB1,,,,,,
Christian Joel,2022,Cuba,9/7/1999,Goalkeeper,500000,ES1,,,,,,
Mattia Compagnon,2022,Italy,6/11/2001,Attack,400000,IT1,,,,,,
Thijs Dallinga,2022,Netherlands,3/8/2000,Attack,12000000,FR1,,,,,,
Naouirou Ahamada,2022,France,29/3/2002,Midfield,10000000,GB1,,,,,,
Illan Meslier,2022,France,2/3/2000,Goalkeeper,20000000,GB1,,,,,,
Billal Brahimi,2022,Algeria,14/3/2000,Attack,7000000,FR1,,,,,,
Cheick Doucouré,2022,Mali,8/1/2000,Midfield,35000000,GB1,,,,,,
Jorge Herrando,2022,Spain,28/2/2001,Defender,400000,ES1,,,,,,
Giorgio Scalvini,2022,Italy,11/12/2003,Defender,40000000,IT1,,,,,,
Fabio Miretti,2022,Italy,3/8/2003,Midfield,15000000,IT1,,,,,,
Lázaro,2022,,12/3/2002,Attack,6000000,ES1,,,,,,
Joseph Anang,2022,England,8/6/2000,Goalkeeper,100000,GB1,,,,,,
Mattia Zanotti,2022,Italy,11/1/2003,Defender,800000,IT1,,,,,,
Medon Berisha,2022,Albania,21/10/2003,Midfield,500000,IT1,,,,,,
Arnaud Kalimuendo,2022,France,20/1/2002,Attack,22000000,FR1,,,,,,
Himad Abdelli,2022,Algeria,17/11/1999,Midfield,2500000,FR1,,,,,,
Sanasi Sy,2022,,4/4/1999,Defender,300000,IT1,,,,,,
Éderson,2022,Brazil,7/7/1999,Midfield,20000000,IT1,,,,,,
Alex Robertson,2022,Australia,17/4/2003,Midfield,50000,GB1,,,,,,
Oliver Zandén,2022,Sweden,14/8/2001,Defender,1000000,FR1,,,,,,
Luis López,2022,Spain,8/5/2001,Goalkeeper,300000,ES1,,,,,,
Salva Ferrer,2022,Spain,21/1/1998,Defender,800000,IT1,,,,,,
Reinier,2022,Brazil,19/1/2002,Midfield,2000000,ES1,,,,,,
Dany Jean,2022,Haiti,28/11/2002,Midfield,150000,FR1,,,,,,
Aitor Gismera,2022,Spain,21/2/2004,Midfield,150000,ES1,,,,,,
Simone Scaglia,2022,Italy,12/7/2004,Goalkeeper,25000,IT1,,,,,,
Vasilios Gordeziani,2022,Greece,29/1/2002,Attack,300000,GR1,,,,,,
Gabriel Slonina,2022,United States,15/5/2004,Goalkeeper,9000000,GB1,,,,,,
Riccardo Pagano,2022,Italy,28/11/2004,Midfield,900000,IT1,,,,,,
Mohamed-Ali Cho,2022,France,19/1/2004,Attack,12000000,ES1,,,,,,
Sonny Perkins,2022,England,10/2/2004,Attack,1200000,GB1,,,,,,
André Ricardo,2022,Portugal,23/8/2000,Midfield,200000,GR1,,,,,,
Zidane Iqbal,2022,Iraq,27/4/2003,Midfield,1000000,GB1,,,,,,
Chadi Riad,2022,Morocco,17/6/2003,Defender,500000,ES1,,,,,,
Kamarai Swyer,2022,England,4/12/2002,Midfield,150000,GB1,,,,,,
Victor Aznar,2022,Brazil,17/10/2002,Goalkeeper,50000,ES1,,,,,,
Charlie Pérez,2022,Spain,7/6/2002,Goalkeeper,25000,ES1,,,,,,
Bradley Barcola,2022,France,2/9/2002,Attack,18000000,FR1,,,,,,
Mario Maroto,2022,Spain,28/11/2003,Midfield,150000,ES1,,,,,,
Guéla Doué,2022,Cote d'Ivoire,17/10/2002,Defender,300000,FR1,,,,,,
Lesley Ugochukwu,2022,France,26/3/2004,Midfield,9000000,FR1,,,,,,
David Costa,2022,Portugal,5/1/2001,Midfield,8000000,FR1,,,,,,
Vasilios Troumpoulos,2022,Greece,23/12/2003,Midfield,75000,GR1,,,,,,
Lovro Stubljar,2022,Slovenia,9/8/2004,Goalkeeper,200000,IT1,,,,,,
Loïc Badé,2022,France,11/4/2000,Defender,12000000,GB1,,,,,,
Santi García,2022,Spain,29/8/2001,Midfield,50000,ES1,,,,,,
Adrien Louveau,2022,France,1/2/2000,Defender,100000,FR1,,,,,,
Agustín Álvarez,2022,Uruguay,19/5/2001,Attack,8000000,IT1,,,,,,
Nikolaos Zouglis,2022,Greece,14/11/2003,Attack,75000,GR1,,,,,,
Panagiotis Anastasopoulos,2022,Greece,24/10/2003,Defender,50000,GR1,,,,,,
Hugo Lamy,2022,France,16/1/2004,Defender,250000,FR1,,,,,,
Cheick Keita,2022,France,2/4/2003,Defender,1500000,FR1,,,,,,
Lorenzo Villa,2022,Italy,26/7/2003,Defender,75000,IT1,,,,,,
Lilian Rao-Lisoa,2022,,16/6/2000,Defender,200000,FR1,,,,,,
Taïryk Arconte,2022,France,12/11/2003,Attack,500000,FR1,,,,,,
Jeffinho,2022,Brazil,30/12/1999,Attack,8000000,FR1,,,,,,
Ricard Artero,2022,,5/2/2003,Midfield,200000,ES1,,,,,,
Mattéo Loubatières,2022,France,15/9/2003,Midfield,150000,FR1,,,,,,
Archie Gray,2022,England,12/3/2006,Midfield,200000,GB1,,,,,,
Christos Chatziioannou,2022,Greece,10/1/2004,Attack,200000,GR1,,,,,,
Martín Conde,2022,Spain,25/3/2003,Defender,150000,ES1,,,,,,
Moussa Diakité,2022,Mali,4/11/2003,Midfield,50000,ES1,,,,,,
Amine Salama,2022,France,18/7/2000,Attack,1500000,FR1,,,,,,
Eldin Jakupovic,2022,Switzerland,2/10/1984,Goalkeeper,200000,GB1,,,,,,
Antonio Candreva,2022,Italy,28/2/1987,Midfield,1500000,IT1,,,,,,
Diego López,2022,Spain,3/11/1981,Goalkeeper,300000,ES1,,,,,,
Axel Witsel,2022,,12/1/1989,Midfield,5000000,ES1,,,,,,
James McArthur,2022,Scotland,7/10/1987,Midfield,400000,GB1,,,,,,
Zivko Zivkovic,2022,Serbia,14/4/1989,Goalkeeper,400000,GR1,,,,,,
Sergio Asenjo,2022,Spain,28/6/1989,Goalkeeper,1000000,ES1,,,,,,
Michael Gardawski,2022,Germany,25/9/1990,Midfield,200000,GR1,,,,,,
Harry Arter,2022,Ireland,28/12/1989,Midfield,400000,GB1,,,,,,
Pierre-Emerick Aubameyang,2022,Gabon,18/6/1989,Attack,4000000,GB1,,,,,,
Diego Mariño,2022,Spain,9/5/1990,Goalkeeper,300000,ES1,,,,,,
Nicolas N'Koulou,2022,Cameroon,27/3/1990,Defender,1000000,GR1,,,,,,
James Tomkins,2022,England,29/3/1989,Defender,800000,GB1,,,,,,
Andros Townsend,2022,England,16/7/1991,Attack,1500000,GB1,,,,,,
Martín Montoya,2022,,14/4/1991,Defender,1200000,ES1,,,,,,
Iago Aspas,2022,,1/8/1987,Attack,6000000,ES1,,,,,,
Omar El Kaddouri,2022,Morocco,21/8/1990,Midfield,1000000,GR1,,,,,,
Etrit Berisha,2022,Albania,10/3/1989,Goalkeeper,400000,IT1,,,,,,
Lukasz Skorupski,2022,Poland,5/5/1991,Goalkeeper,3500000,IT1,,,,,,
Aridane Hernández,2022,,23/3/1989,Defender,1000000,ES1,,,,,,
Giulio Donati,2022,Italy,5/2/1990,Defender,500000,IT1,,,,,,
Simone Romagnoli,2022,Italy,9/2/1990,Defender,750000,IT1,,,,,,
Mateusz Klich,2022,,13/6/1990,Midfield,2000000,GB1,,,,,,
Gaëtan Charbonnier,2022,France,27/12/1988,Attack,500000,FR1,,,,,,
Pietro Terracciano,2022,Italy,8/3/1990,Goalkeeper,2000000,IT1,,,,,,
Konstantinos Manolas,2022,Greece,14/6/1991,Defender,3000000,GR1,,,,,,
Germán Pezzella,2022,Argentina,27/6/1991,Defender,5000000,ES1,,,,,,
Shane Duffy,2022,Ireland,1/1/1992,Defender,2000000,GB1,,,,,,
Hugo Mallo,2022,,22/6/1991,Defender,3000000,ES1,,,,,,
Cédric Bakambu,2022,DR Congo,11/4/1991,Attack,5000000,GR1,,,,,,
Bartosz Bereszynski,2022,Poland,12/7/1992,Defender,1600000,IT1,,,,,,
Andrea Barberis,2022,Italy,11/12/1993,Midfield,800000,IT1,,,,,,
Leandro Paredes,2022,Argentina,29/6/1994,Midfield,12000000,IT1,,,,,,
Christophe Hérelle,2022,Martinique,22/8/1992,Defender,2000000,FR1,,,,,,
Davide Zappacosta,2022,Italy,11/6/1992,Defender,7000000,IT1,,,,,,
Emerson,2022,Italy,3/8/1994,Defender,12000000,GB1,,,,,,
Wesley Saïd,2022,France,19/4/1995,Attack,2000000,FR1,,,,,,
Koffi Djidji,2022,Cote d'Ivoire,30/11/1992,Defender,3000000,IT1,,,,,,
Joe Rothwell,2022,England,11/1/1995,Midfield,4000000,GB1,,,,,,
Emil Krafth,2022,Sweden,2/8/1994,Defender,3000000,GB1,,,,,,
Alfred Duncan,2022,Ghana,10/3/1993,Midfield,4000000,IT1,,,,,,
Giannis Anestis,2022,Greece,9/3/1991,Goalkeeper,400000,GR1,,,,,,
Arkadiusz Milik,2022,Poland,28/2/1994,Attack,8000000,IT1,,,,,,
Nicolas Haas,2022,Switzerland,23/1/1996,Midfield,2000000,IT1,,,,,,
Joe Bryan,2022,England,17/9/1993,Defender,2200000,GB1,,,,,,
Jamie Vardy,2022,England,11/1/1987,Attack,2500000,GB1,,,,,,
Rafa Soares,2022,Portugal,9/5/1995,Defender,1800000,GR1,,,,,,
Flavien Tait,2022,France,2/2/1993,Midfield,6000000,FR1,,,,,,
Chancel Mbemba,2022,DR Congo,8/8/1994,Defender,20000000,FR1,,,,,,
Ricardo Pereira,2022,,6/10/1993,Defender,10000000,GB1,,,,,,
Thomas Strakosha,2022,Albania,19/3/1995,Goalkeeper,3500000,GB1,,,,,,
Srdjan Babic,2022,,22/4/1996,Defender,3500000,ES1,,,,,,
Birama Touré,2022,Mali,6/6/1992,Midfield,1800000,FR1,,,,,,
Rui Silva,2022,Portugal,7/2/1994,Goalkeeper,15000000,ES1,,,,,,
Ola Aina,2022,Nigeria,8/10/1996,Defender,3500000,IT1,,,,,,
Théo Pellenard,2022,,4/3/1994,Defender,1000000,FR1,,,,,,
Pietro Ceccaroni,2022,Italy,21/12/1995,Defender,1600000,IT1,,,,,,
Esteban Saveljich,2022,Montenegro,20/5/1991,Defender,500000,ES1,,,,,,
Samúel Fridjónsson,2022,Iceland,22/2/1996,Midfield,500000,GR1,,,,,,
Arturo Calabresi,2022,,17/3/1996,Defender,1100000,IT1,,,,,,
Bernardo Silva,2022,Portugal,10/8/1994,Midfield,80000000,GB1,,,,,,
Andrei Radu,2022,Romania,21/6/1996,Defender,200000,GR1,,,,,,
Matt Targett,2022,England,18/9/1995,Defender,13000000,GB1,,,,,,
Timothy Castagne,2022,Belgium,5/12/1995,Defender,25000000,GB1,,,,,,
Víctor Camarasa,2022,Spain,28/5/1994,Midfield,800000,ES1,,,,,,
Adam Buksa,2022,Poland,12/7/1996,Attack,5000000,FR1,,,,,,
Vincent Sierro,2022,Switzerland,8/10/1995,Midfield,1500000,FR1,,,,,,
Augusto Solari,2022,Argentina,3/1/1992,Attack,1500000,ES1,,,,,,
Álex Collado,2022,Spain,22/4/1999,Attack,3000000,ES1,,,,,,
Athanasios Garavelis,2022,Greece,6/8/1992,Goalkeeper,300000,GR1,,,,,,
Adrián Embarba,2022,Spain,7/5/1992,Attack,2500000,ES1,,,,,,
Rafael Ratão,2022,,30/11/1995,Attack,2500000,FR1,,,,,,
Saïd Benrahma,2022,Algeria,10/8/1995,Attack,25000000,GB1,,,,,,
Jean-Baptiste Léo,2022,France,3/5/1996,Attack,175000,GR1,,,,,,
Aboubakar Kamara,2022,Mauritania,7/3/1995,Attack,3000000,GR1,,,,,,
Jonathan Morsay,2022,Sierra Leone,5/10/1997,Attack,400000,GR1,,,,,,
Borja Mayoral,2022,Spain,5/4/1997,Attack,9000000,ES1,,,,,,
Rolando Mandragora,2022,,29/6/1997,Midfield,10000000,IT1,,,,,,
Azor Matusiwa,2022,,28/4/1998,Midfield,7500000,FR1,,,,,,
Paul Bernardoni,2022,France,18/4/1997,Goalkeeper,2500000,FR1,,,,,,
Dani Ceballos,2022,Spain,7/8/1996,Midfield,12000000,ES1,,,,,,
Philip Billing,2022,,11/6/1996,Midfield,20000000,GB1,,,,,,
Oliver Abildgaard,2022,Denmark,10/6/1996,Midfield,4500000,IT1,,,,,,
Matteo Pessina,2022,Italy,21/4/1997,Midfield,15000000,IT1,,,,,,
Manu Morlanes,2022,,12/1/1999,Midfield,4000000,ES1,,,,,,
Ben White,2022,England,8/10/1997,Defender,55000000,GB1,,,,,,
Gustavo Marmentini,2022,,8/3/1994,Attack,250000,GR1,,,,,,
Deyovaisio Zeefuik,2022,Netherlands,11/3/1998,Defender,1200000,IT1,,,,,,
Giovanni González,2022,Uruguay,20/9/1994,Defender,2000000,ES1,,,,,,
Reiss Nelson,2022,England,10/12/1999,Attack,12000000,GB1,,,,,,
Leonardo Sernicola,2022,Italy,30/7/1997,Defender,2000000,IT1,,,,,,
Juan Miranda,2022,Spain,19/1/2000,Defender,7000000,ES1,,,,,,
Gerson,2022,,20/5/1997,Midfield,16000000,FR1,,,,,,
Antonin Bobichon,2022,France,14/9/1995,Midfield,900000,FR1,,,,,,
Nikoloz Ninua,2022,Georgia,22/6/1999,Midfield,350000,GR1,,,,,,
Fabián Ruiz,2022,Spain,3/4/1996,Midfield,32000000,FR1,,,,,,
Giulio Maggiore,2022,Italy,12/3/1998,Midfield,5500000,IT1,,,,,,
Diogo Dalot,2022,Portugal,18/3/1999,Defender,40000000,GB1,,,,,,
Fernando Calero,2022,Spain,14/9/1995,Defender,2000000,ES1,,,,,,
Arthur Theate,2022,Belgium,25/5/2000,Defender,22000000,FR1,,,,,,
Sasa Kalajdzic,2022,Austria,7/7/1997,Attack,15000000,GB1,,,,,,
Manuel De Luca,2022,Italy,17/7/1998,Attack,2000000,IT1,,,,,,
Yangel Herrera,2022,Venezuela,7/1/1998,Midfield,5000000,ES1,,,,,,
Franco Russo,2022,Argentina,25/10/1994,Defender,800000,ES1,,,,,,
Brahim Díaz,2022,Spain,3/8/1999,Midfield,20000000,IT1,,,,,,
Orbelín Pineda,2022,Mexico,24/3/1996,Midfield,5000000,GR1,,,,,,
Álex Berenguer,2022,Spain,4/7/1995,Attack,15000000,ES1,,,,,,
Theo Hernández,2022,France,6/10/1997,Defender,60000000,IT1,,,,,,
Marcão,2022,Brazil,5/6/1996,Defender,7500000,ES1,,,,,,
Rhys Williams,2022,England,3/2/2001,Defender,2000000,GB1,,,,,,
Harouna Sy,2022,France,30/3/1996,Defender,450000,GR1,,,,,,
Darwin Núñez,2022,Uruguay,24/6/1999,Attack,65000000,GB1,,,,,,
Clément Vidal,2022,France,18/6/2000,Defender,1800000,FR1,,,,,,
Aitor Paredes,2022,Spain,29/4/2000,Defender,1000000,ES1,,,,,,
Georgios Theocharis,2022,Greece,30/6/2002,Goalkeeper,100000,GR1,,,,,,
Konstantinos Tsirigotis,2022,Greece,10/3/2001,Defender,150000,GR1,,,,,,
Cameron Peupion,2022,,23/9/2002,Midfield,150000,GB1,,,,,,
Alberto Flores,2022,Spain,10/11/2003,Goalkeeper,200000,ES1,,,,,,
Nicolas Jackson,2022,Senegal,20/6/2001,Attack,30000000,ES1,,,,,,
Stefan Bajcetic,2022,Spain,22/10/2004,Midfield,13000000,GB1,,,,,,
Yoann Touzghar,2022,Tunisia,28/11/1986,Attack,300000,FR1,,,,,,
Alisson,2022,Brazil,2/10/1992,Goalkeeper,35000000,GB1,,,,,,
Joël Veltman,2022,Netherlands,15/1/1992,Defender,10000000,GB1,,,,,,
Lewis Dunk,2022,England,21/11/1991,Defender,16000000,GB1,,,,,,
Asier Villalibre,2022,Spain,30/9/1997,Attack,2500000,ES1,,,,,,
Davide Calabria,2022,,6/12/1996,Defender,20000000,IT1,,,,,,
Alassane N'Diaye,2022,France,14/6/1991,Midfield,150000,FR1,,,,,,
Matteo Gabbia,2022,Italy,21/10/1999,Defender,5000000,IT1,,,,,,
Vincent Marchetti,2022,France,4/7/1997,Midfield,2500000,FR1,,,,,,
Hamed Junior Traorè,2022,Cote d'Ivoire,16/2/2000,Midfield,22000000,GB1,,,,,,
Antonino Gallo,2022,,5/1/2000,Defender,2500000,IT1,,,,,,
Nadir Zortea,2022,Italy,19/6/1999,Defender,2000000,IT1,,,,,,
Zakaria Aboukhlal,2022,Morocco,18/2/2000,Attack,9000000,FR1,,,,,,
Léo Tilica,2022,Brazil,20/4/1995,Attack,300000,GR1,,,,,,
Luis Perea,2022,,25/8/1997,Midfield,600000,GR1,,,,,,
Phil Foden,2022,England,28/5/2000,Attack,110000000,GB1,,,,,,
Keinan Davis,2022,England,13/2/1998,Attack,3000000,GB1,,,,,,
Erling Haaland,2022,Norway,21/7/2000,Attack,180000000,GB1,,,,,,
Veljko Birmancevic,2022,Serbia,5/3/1998,Attack,3000000,FR1,,,,,,
Javi Hernández,2022,Spain,2/5/1998,Defender,2500000,ES1,,,,,,
Nathan Patterson,2022,Scotland,16/10/2001,Defender,16000000,GB1,,,,,,
Jörgen Strand Larsen,2022,Norway,6/2/2000,Attack,11000000,ES1,,,,,,
Arvin Appiah,2022,England,5/1/2001,Attack,500000,ES1,,,,,,
Ardian Ismajli,2022,,30/9/1996,Defender,3500000,IT1,,,,,,
Martin Terrier,2022,,4/3/1997,Attack,30000000,FR1,,,,,,
Javi Galán,2022,Spain,19/11/1994,Defender,12000000,ES1,,,,,,
Emil Kornvig,2022,Denmark,28/4/2000,Midfield,450000,IT1,,,,,,
Mattéo Guendouzi,2022,,14/4/1999,Midfield,25000000,FR1,,,,,,
Marcos Senesi,2022,Argentina,10/5/1997,Defender,22000000,GB1,,,,,,
Dennis Politic,2022,Romania,5/3/2000,Attack,150000,IT1,,,,,,
Alessandro Russo,2022,Italy,31/3/2001,Goalkeeper,350000,IT1,,,,,,
Angelos Liasos,2022,Greece,26/5/2000,Midfield,400000,GR1,,,,,,
Nicolás Domínguez,2022,Argentina,28/6/1998,Midfield,17000000,IT1,,,,,,
Federico Gatti,2022,Italy,24/6/1998,Defender,12000000,IT1,,,,,,
Leandro Sanca,2022,Guinea-Bissau,4/1/2000,Attack,400000,IT1,,,,,,
Alex Gilbert,2022,Ireland,28/12/2001,Attack,100000,GB1,,,,,,
Mohamed Camara,2022,Mali,6/1/2000,Midfield,30000000,FR1,,,,,,
Konstantinos Tzolakis,2022,,8/11/2002,Goalkeeper,1500000,GR1,,,,,,
Ruan Tressoldi,2022,Brazil,7/6/1999,Defender,4500000,IT1,,,,,,
Michel Adopo,2022,France,19/7/2000,Midfield,500000,IT1,,,,,,
Gonzalo Paz,2022,,6/6/1993,Defender,300000,GR1,,,,,,
Yanis Begraoui,2022,Morocco,4/7/2001,Attack,1000000,FR1,,,,,,
Armando Broja,2022,Albania,10/9/2001,Attack,28000000,GB1,,,,,,
Kristoffer Askildsen,2022,Norway,9/1/2001,Midfield,2000000,IT1,,,,,,
Samuel Iling Junior,2022,England,4/10/2003,Attack,9000000,IT1,,,,,,
Marios Vichos,2022,Greece,14/1/2000,Defender,350000,GR1,,,,,,
Jean-Clair Todibo,2022,France,30/12/1999,Defender,30000000,FR1,,,,,,
Liam Delap,2022,England,8/2/2003,Attack,5000000,GB1,,,,,,
Ilias Kostis,2022,Cyprus,27/2/2003,Defender,100000,ES1,,,,,,
Lucas Margueron,2022,France,12/2/2001,Goalkeeper,150000,FR1,,,,,,
Noah Françoise,2022,France,5/7/2003,Midfield,350000,FR1,,,,,,
Kasey McAteer,2022,England,22/11/2001,Midfield,250000,GB1,,,,,,
Jon Ander Olasagasti,2022,Spain,16/8/2000,Midfield,1000000,ES1,,,,,,
Boulaye Dia,2022,Senegal,16/11/1996,Attack,25000000,IT1,,,,,,
Ricardo Visus,2022,Spain,24/4/2001,Defender,150000,ES1,,,,,,
Lautaro Spatz,2022,Argentina,19/10/2001,Defender,150000,ES1,,,,,,
Francisco Mwepu,2022,Zambia,29/2/2000,Attack,150000,ES1,,,,,,
Léo Leroy,2022,France,14/2/2000,Midfield,1200000,FR1,,,,,,
Christian Saydee,2022,,10/5/2002,Attack,400000,GB1,,,,,,
Lewis Hall,2022,England,8/9/2004,Defender,10000000,GB1,,,,,,
Sinaly Diomandé,2022,Cote d'Ivoire,9/4/2001,Defender,9000000,FR1,,,,,,
Isaak Touré,2022,France,28/3/2003,Defender,6000000,FR1,,,,,,
José Ángel Carmona,2022,,29/1/2002,Defender,4000000,ES1,,,,,,
Warmed Omari,2022,France,23/4/2000,Defender,9000000,FR1,,,,,,
Khayon Edwards,2022,England,12/9/2003,Attack,300000,GB1,,,,,,
Théo Le Bris,2022,France,1/10/2002,Midfield,3000000,FR1,,,,,,
David Datro Fofana,2022,Cote d'Ivoire,22/12/2002,Attack,10000000,GB1,,,,,,
Loris Mouyokolo,2022,France,22/5/2001,Defender,500000,FR1,,,,,,
Mihailo Ivanovic,2022,Serbia,29/11/2004,Attack,150000,IT1,,,,,,
Felix Afena-Gyan,2022,Ghana,19/1/2003,Attack,5000000,IT1,,,,,,
Manssour Fofana,2022,Cote d'Ivoire,10/7/2002,Attack,250000,GR1,,,,,,
Jordan Robinand,2022,France,16/9/2003,Midfield,50000,FR1,,,,,,
Antoine Mendy,2022,France,27/5/2004,Defender,1000000,FR1,,,,,,
Dani Pérez,2022,Spain,26/7/2005,Midfield,300000,ES1,,,,,,
Ibrahim Salah,2022,Morocco,30/8/2001,Attack,3000000,FR1,,,,,,
Matteo Makhabe,2022,,28/11/2003,Midfield,100000,FR1,,,,,,
Edvin Bongemba,2022,France,14/1/2004,Attack,50000,FR1,,,,,,
Curro Muñoz,2022,Spain,7/1/2003,Midfield,50000,ES1,,,,,,
Yoann Beaka,2022,France,6/4/2003,Attack,150000,FR1,,,,,,
Eric N'Jo,2022,France,1/6/2004,Defender,200000,FR1,,,,,,
José Antonio de la Rosa,2022,Spain,28/7/2004,Attack,300000,ES1,,,,,,
Franci Bouebari,2022,France,12/9/2003,Defender,250000,FR1,,,,,,
Stan Berkani,2022,,13/8/2003,Midfield,50000,FR1,,,,,,
Ichem Ferrah,2022,France,23/9/2005,Attack,100000,FR1,,,,,,
Casemiro,2022,Brazil,23/2/1992,Midfield,40000000,GB1,,,,,,
Andrea Consigli,2022,Italy,27/1/1987,Goalkeeper,1000000,IT1,,,,,,
Robert Lewandowski,2022,Poland,21/8/1988,Attack,30000000,ES1,,,,,,
Zanka,2022,Denmark,23/4/1990,Defender,1500000,GB1,,,,,,
Jerónimo Barrales,2022,,28/1/1987,Attack,200000,GR1,,,,,,
Iago Herrerín,2022,,25/1/1988,Goalkeeper,500000,ES1,,,,,,
Juan Domínguez,2022,,8/1/1990,Midfield,250000,GR1,,,,,,
Pedro Mendes,2022,Portugal,1/10/1990,Defender,1800000,FR1,,,,,,
Lucas Pérez,2022,Spain,10/9/1988,Attack,800000,ES1,,,,,,
Martin Dúbravka,2022,,15/1/1989,Goalkeeper,1500000,GB1,,,,,,
Liam Cooper,2022,Scotland,30/8/1991,Defender,3000000,GB1,,,,,,
Georgios Manousos,2022,,3/12/1987,Attack,150000,GR1,,,,,,
Stefan Schwab,2022,Austria,27/9/1990,Midfield,1000000,GR1,,,,,,
Nicola Sansone,2022,Italy,10/9/1991,Attack,1500000,IT1,,,,,,
Juan Cuadrado,2022,Colombia,26/5/1988,Midfield,4000000,IT1,,,,,,
Joel Ward,2022,England,29/10/1989,Defender,1200000,GB1,,,,,,
Sead Kolasinac,2022,Bosnia-Herzegovina,20/6/1993,Defender,8000000,FR1,,,,,,
Youssef El Arabi,2022,Morocco,3/2/1987,Attack,800000,GR1,,,,,,
Luigi Sepe,2022,Italy,8/5/1991,Goalkeeper,1000000,IT1,,,,,,
Marco Verratti,2022,Italy,5/11/1992,Midfield,40000000,FR1,,,,,,
Michal Skvarka,2022,Slovakia,19/8/1992,Midfield,300000,GR1,,,,,,
Juanpe,2022,,30/4/1991,Defender,1500000,ES1,,,,,,
Mehdi Zeffane,2022,Algeria,19/5/1992,Defender,450000,FR1,,,,,,
Kaan Ayhan,2022,,10/11/1994,Defender,3700000,IT1,,,,,,
Loïs Diony,2022,France,20/12/1992,Attack,900000,FR1,,,,,,
Faouzi Ghoulam,2022,Algeria,1/2/1991,Defender,900000,FR1,,,,,,
Lucas Digne,2022,France,20/7/1993,Defender,15000000,GB1,,,,,,
Idrissa Gueye,2022,Senegal,26/9/1989,Midfield,5000000,GB1,,,,,,
Téji Savanier,2022,France,22/12/1991,Midfield,10000000,FR1,,,,,,
Cheick Doukouré,2022,Cote d'Ivoire,11/9/1992,Midfield,600000,GR1,,,,,,
Mark Gillespie,2022,England,27/3/1992,Goalkeeper,300000,GB1,,,,,,
Mohamed Elneny,2022,Egypt,11/7/1992,Midfield,6000000,GB1,,,,,,
Paul Dummett,2022,Wales,26/9/1991,Defender,1000000,GB1,,,,,,
Tomasz Kedziora,2022,Poland,11/6/1994,Defender,3000000,GR1,,,,,,
Gaëtan Laborde,2022,France,3/5/1994,Attack,16000000,FR1,,,,,,
Gonzalo Verdú,2022,Spain,21/10/1988,Defender,700000,ES1,,,,,,
Ryan Christie,2022,Scotland,22/2/1995,Midfield,10000000,GB1,,,,,,
Benjamin Verbic,2022,Slovenia,27/11/1993,Attack,3000000,GR1,,,,,,
Predrag Rajkovic,2022,Serbia,31/10/1995,Goalkeeper,10000000,ES1,,,,,,
Jacob Une Larsson,2022,Sweden,8/4/1994,Defender,750000,GR1,,,,,,
Bryan Cristante,2022,Italy,3/3/1995,Midfield,20000000,IT1,,,,,,
Elseid Hysaj,2022,Albania,2/2/1994,Defender,5000000,IT1,,,,,,
Nabil Fekir,2022,,18/7/1993,Midfield,20000000,ES1,,,,,,
